mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,0.005870476422796725,91.7233794518897,20.29902639754502,86.70208454112134,0.5991477204532927,0.0,1396
steer,-0.05,high,0.0019757558877198265,326.70078577015653,66.26693323479697,177.77422942453975,0.5986357618084599,0.07420331920646558,1396
steer,-0.02,high,0.0022498619913478464,146.92104494230847,31.218461397041942,106.15537107337992,0.6126478354897408,0.06951121089618585,1396
steer,0.02,high,0.0019196088887473573,141.87114241489886,30.206979333897753,103.56738864466612,0.6100157464502172,0.0687212864583142,1396
steer,0.05,high,0.00040502743168405783,317.85431798446734,64.94569601389377,297.14957785494727,0.6316232210159286,0.07424183679276104,1396
