benchmark,probe_label,dataset_count,transfer_r2,baseline_transfer_r2,transfer_rmse,baseline_transfer_rmse,transfer_mae,baseline_transfer_mae,transfer_count
fev,coordination,3,-1.1105161375602726,-7164.139928010631,0.49738456762483085,17.97080950777142,0.45765726789896366,15.6154444382337,90.0
fev,current_burstiness,3,-9680400.492695354,-9874846.20734367,415839.461509743,415953.50812819554,170432.57133875685,170485.54037329886,90.0
fev,current_sparsity,3,-71.42579785369993,0.3333096481593128,0.8308844899874279,0.003377626124548501,0.7100956003328149,0.0033063251918865892,90.0
fev,future_burstiness,3,-8186771.501535293,-8556833.481140878,984.4725703094308,1001.8364126909566,973.8890536282784,1001.8362363350612,90.0
fev,future_sparsity,3,-111.8249506436394,0.27702263893760315,0.8277527724915572,0.012753916342644967,0.7068128840572212,0.008818515990617209,90.0
fev,shift_risk,3,-18183874.396065667,-18498853.50157926,4330.99391922624,4266.30121090593,2423.57723468011,2408.627645449782,90.0
