name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_-1__all_context__per_variate,current_sparsity,-1,all_context,per_variate,7.346913,0.022786397,-1.5487128
current_sparsity__layer_-1__all_context__series_mean,current_sparsity,-1,all_context,series_mean,7.3509836,0.017602202,-1.5485862
current_sparsity__layer_-1__final_context__per_variate,current_sparsity,-1,final_context,per_variate,7.3550153,0.013815096,-1.5482527
current_sparsity__layer_-1__final_context__series_mean,current_sparsity,-1,final_context,series_mean,7.3561816,0.012304959,-1.548457
current_sparsity__layer_-1__first_decode__per_variate,current_sparsity,-1,first_decode,per_variate,7.3239007,0.05182927,-1.54898
current_sparsity__layer_-1__first_decode__series_mean,current_sparsity,-1,first_decode,series_mean,7.334256,0.0387037,-1.5488193
current_sparsity__layer_0__all_context__per_variate,current_sparsity,0,all_context,per_variate,7.4964633,0.0033954415,-1.5521755
current_sparsity__layer_0__all_context__series_mean,current_sparsity,0,all_context,series_mean,7.548505,-0.007020483,-1.5516537
current_sparsity__layer_0__final_context__per_variate,current_sparsity,0,final_context,per_variate,7.506144,-0.0068041165,-1.5531762
current_sparsity__layer_0__final_context__series_mean,current_sparsity,0,final_context,series_mean,7.5514693,-0.011429934,-1.5517737
current_sparsity__layer_0__first_decode__per_variate,current_sparsity,0,first_decode,per_variate,7.4152327,0.045009673,-1.5495787
current_sparsity__layer_0__first_decode__series_mean,current_sparsity,0,first_decode,series_mean,7.4645023,0.027303198,-1.5493853
current_sparsity__layer_1__all_context__per_variate,current_sparsity,1,all_context,per_variate,7.6194916,0.0042805346,-1.5581254
current_sparsity__layer_1__all_context__series_mean,current_sparsity,1,all_context,series_mean,7.7325625,-0.010662391,-1.5549617
current_sparsity__layer_1__final_context__per_variate,current_sparsity,1,final_context,per_variate,7.6541176,-0.007410685,-1.5604576
current_sparsity__layer_1__final_context__series_mean,current_sparsity,1,final_context,series_mean,7.7219763,-0.014487514,-1.5549678
current_sparsity__layer_1__first_decode__per_variate,current_sparsity,1,first_decode,per_variate,7.4464207,0.050607182,-1.5510803
current_sparsity__layer_1__first_decode__series_mean,current_sparsity,1,first_decode,series_mean,7.524467,0.029325863,-1.5485828
current_sparsity__layer_2__all_context__per_variate,current_sparsity,2,all_context,per_variate,7.6645017,0.015783586,-1.5596346
current_sparsity__layer_2__all_context__series_mean,current_sparsity,2,all_context,series_mean,7.790625,0.0011617435,-1.554887
current_sparsity__layer_2__final_context__per_variate,current_sparsity,2,final_context,per_variate,7.694522,0.006319336,-1.5630147
current_sparsity__layer_2__final_context__series_mean,current_sparsity,2,final_context,series_mean,7.7694135,-0.0017795704,-1.5552309
current_sparsity__layer_2__first_decode__per_variate,current_sparsity,2,first_decode,per_variate,7.466685,0.058653124,-1.5504607
current_sparsity__layer_2__first_decode__series_mean,current_sparsity,2,first_decode,series_mean,7.5443854,0.038226146,-1.5465893
current_sparsity__layer_3__all_context__per_variate,current_sparsity,3,all_context,per_variate,7.6671343,0.027304659,-1.5570731
current_sparsity__layer_3__all_context__series_mean,current_sparsity,3,all_context,series_mean,7.815755,0.01209087,-1.550883
current_sparsity__layer_3__final_context__per_variate,current_sparsity,3,final_context,per_variate,7.685971,0.021394456,-1.561181
current_sparsity__layer_3__final_context__series_mean,current_sparsity,3,final_context,series_mean,7.784104,0.010742608,-1.5517629
current_sparsity__layer_3__first_decode__per_variate,current_sparsity,3,first_decode,per_variate,7.4825783,0.06344111,-1.547052
current_sparsity__layer_3__first_decode__series_mean,current_sparsity,3,first_decode,series_mean,7.574955,0.04299256,-1.5417027
current_sparsity__layer_4__all_context__per_variate,current_sparsity,4,all_context,per_variate,7.6499424,0.036681913,-1.5514559
current_sparsity__layer_4__all_context__series_mean,current_sparsity,4,all_context,series_mean,7.824294,0.021198848,-1.5444212
current_sparsity__layer_4__final_context__per_variate,current_sparsity,4,final_context,per_variate,7.651105,0.034907956,-1.5563895
current_sparsity__layer_4__final_context__series_mean,current_sparsity,4,final_context,series_mean,7.7807055,0.02103726,-1.5456947
current_sparsity__layer_4__first_decode__per_variate,current_sparsity,4,first_decode,per_variate,7.507017,0.06390004,-1.5417544
current_sparsity__layer_4__first_decode__series_mean,current_sparsity,4,first_decode,series_mean,7.6207447,0.042570222,-1.5345937
current_sparsity__layer_5__all_context__per_variate,current_sparsity,5,all_context,per_variate,7.6389647,0.04215203,-1.5463911
