benchmark,dataset_name,probe_label,probe_path,layer,token_position,pooling_mode,transfer_r2,transfer_rmse,transfer_mae,baseline_transfer_r2,baseline_transfer_rmse,baseline_transfer_mae,transfer_count
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_sparsity__layer_10__first_decode__per_variate.pt,10,first_decode,per_variate,-0.9730851679967298,0.12259896621931468,0.08962350559334904,0.9999999695147497,1.5239080920327577e-05,1.2000720036116887e-05,42.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_sparsity__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-1.0677559808122465,0.12550572447776737,0.09057231739361522,0.9999999779044592,1.2973770467102738e-05,1.059474985813224e-05,96.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_burstiness__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-1121415.6354435063,1001.1709491781498,1001.1678814490637,-1113048.3680571702,997.4289190704385,997.4284710089365,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-1122283.354923057,1001.558212716937,1001.5556734402975,-1113048.3680571702,997.4289190704385,997.4284710089365,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_burstiness__layer_7__first_decode__per_variate.pt,7,first_decode,per_variate,-1119225.8539305984,1000.1929821778821,1000.1860306337165,-1124556.423139357,1002.5719747540708,1002.5715289910635,42.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_burstiness__layer_8__final_context__per_variate.pt,8,final_context,per_variate,-1118922.054113776,1000.057228167814,1000.0534765152704,-1124556.423139357,1002.5719747540708,1002.5715289910635,42.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_burstiness__layer_11__all_context__per_variate.pt,11,all_context,per_variate,-1102010.1913492985,992.4708150659362,988.9240322664524,-1124556.423139357,1002.5719747540708,1002.5715289910635,672.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_burstiness__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-1075479.9357242815,980.4514661912011,969.2454166798674,-1113048.36805717,997.4289190704384,997.4284710089365,96.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_sparsity__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.9392567290917389,0.09717230320433831,0.07205981463237918,0.8283031708720621,0.028913853781469916,0.01706193329967694,6.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_sparsity__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.9748306775654443,0.0980595228330189,0.07354474363118714,0.8283031708720621,0.028913853781469916,0.01706193329967694,6.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_sparsity__layer_10__all_context__per_variate.pt,10,all_context,per_variate,-0.992099779592398,0.09848733520104795,0.0728193629408486,0.8263924991219811,0.029074287842817494,0.0171128371775399,672.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_sparsity__layer_10__final_context__per_variate.pt,10,final_context,per_variate,-1.0128021938037493,0.09899776538040486,0.07569568010464328,0.8265257032329807,0.029063131764290352,0.017109000026358668,42.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_sparsity__layer_10__first_decode__per_variate.pt,10,first_decode,per_variate,-1.0324464805707905,0.09947968519006845,0.07422689229640733,0.8265257032329807,0.029063131764290352,0.017109000026358668,42.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/future_sparsity__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-1.147540104314269,0.10225757384699968,0.07584524331234901,0.8265042356137258,0.029064930004598363,0.01710989150709451,96.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/shift_risk__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.11847675917937361,10388.448533867355,5008.770484919778,-0.30149959913592217,11206.222205332679,5393.6229102909565,6.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/shift_risk__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-0.2081985198622467,10797.081014704421,5222.496213242832,-0.30149959913592217,11206.222205332679,5393.6229102909565,42.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/shift_risk__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.11838152163122828,10388.006239728817,5006.56297964999,-0.30149959913592217,11206.222205332679,5393.6229102909565,6.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/shift_risk__layer_6__final_context__per_variate.pt,6,final_context,per_variate,-0.19741835219976345,10748.804535715097,5202.441558292934,-0.30149959913592217,11206.222205332679,5393.6229102909565,42.0
