name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_-1__all_context__per_variate,current_sparsity,-1,all_context,per_variate,6.6625795,-2.1422937,0.5988132
current_sparsity__layer_-1__all_context__series_mean,current_sparsity,-1,all_context,series_mean,6.664791,-2.1432877,0.60011894
current_sparsity__layer_-1__final_context__per_variate,current_sparsity,-1,final_context,per_variate,6.725116,-2.2375882,0.5886752
current_sparsity__layer_-1__final_context__series_mean,current_sparsity,-1,final_context,series_mean,6.691374,-2.1815178,0.59686613
current_sparsity__layer_-1__first_decode__per_variate,current_sparsity,-1,first_decode,per_variate,6.5763445,-2.0042546,0.6123311
current_sparsity__layer_-1__first_decode__series_mean,current_sparsity,-1,first_decode,series_mean,6.635548,-2.0969665,0.6041624
current_sparsity__layer_0__all_context__per_variate,current_sparsity,0,all_context,per_variate,7.974515,-2.3200696,0.44361353
current_sparsity__layer_0__all_context__series_mean,current_sparsity,0,all_context,series_mean,7.2442265,-2.221352,0.5303304
current_sparsity__layer_0__final_context__per_variate,current_sparsity,0,final_context,per_variate,7.953809,-2.4001763,0.42363152
current_sparsity__layer_0__final_context__series_mean,current_sparsity,0,final_context,series_mean,7.2638803,-2.2571685,0.5204046
current_sparsity__layer_0__first_decode__per_variate,current_sparsity,0,first_decode,per_variate,7.4123,-2.0839667,0.463913
current_sparsity__layer_0__first_decode__series_mean,current_sparsity,0,first_decode,series_mean,7.068732,-2.1432018,0.5434188
current_sparsity__layer_1__all_context__per_variate,current_sparsity,1,all_context,per_variate,9.22522,-2.3363657,0.3118602
current_sparsity__layer_1__all_context__series_mean,current_sparsity,1,all_context,series_mean,7.807992,-2.2424605,0.48479947
current_sparsity__layer_1__final_context__per_variate,current_sparsity,1,final_context,per_variate,9.212295,-2.428952,0.31080794
current_sparsity__layer_1__final_context__series_mean,current_sparsity,1,final_context,series_mean,7.83302,-2.2833905,0.48325545
current_sparsity__layer_1__first_decode__per_variate,current_sparsity,1,first_decode,per_variate,7.747018,-2.06671,0.46347004
current_sparsity__layer_1__first_decode__series_mean,current_sparsity,1,first_decode,series_mean,7.2100663,-2.1425157,0.55368984
current_sparsity__layer_2__all_context__per_variate,current_sparsity,2,all_context,per_variate,9.580841,-2.2580495,0.31565663
current_sparsity__layer_2__all_context__series_mean,current_sparsity,2,all_context,series_mean,7.974645,-2.214339,0.48908553
current_sparsity__layer_2__final_context__per_variate,current_sparsity,2,final_context,per_variate,9.549437,-2.3502746,0.32041863
current_sparsity__layer_2__final_context__series_mean,current_sparsity,2,final_context,series_mean,7.978391,-2.2528448,0.48958218
current_sparsity__layer_2__first_decode__per_variate,current_sparsity,2,first_decode,per_variate,7.929488,-2.0195422,0.48898602
