window_id,subset,strength,mode,probe_score,forecast_regime_value,wape,mase,wql,median_spread,median_forecast_change
ds-2010-30T:0,middle,0.0,baseline,-2114.137451171875,1413.7298583984375,0.19171645484346167,0.5803406121360112,0.1426030993461609,0.21926844120025635,0.0
ds-2010-30T:0,middle,-0.05,steer,-2079.188232421875,1413.7298583984375,0.18146353567235382,0.5493042492785456,0.14201001822948456,0.20048588514328003,0.026640906929969788
ds-2010-30T:0,middle,-0.02,steer,-1637.033203125,1413.7298583984375,0.1802113286276437,0.5455136930284726,0.13421639800071716,0.19796231389045715,0.019256876781582832
ds-2010-30T:0,middle,0.02,steer,-1982.568603515625,1413.7298583984375,0.19533472432539487,0.5912933797556597,0.14393462240695953,0.21413737535476685,0.021977189928293228
ds-2010-30T:0,middle,0.05,steer,-1794.835693359375,1413.7298583984375,0.2055530555834534,0.6222250781818961,0.15440581738948822,0.22190937399864197,0.02314070053398609
ds-2010-30T:3125,middle,0.0,baseline,1574.11572265625,1863.4405517578125,0.8577651809085821,2.0335409400410174,0.6267568469047546,0.21645304560661316,0.0
ds-2010-30T:3125,middle,-0.05,steer,3364.02734375,1863.4405517578125,0.8641935536443774,2.048780885201772,0.6472553610801697,0.19081230461597443,0.020411601290106773
ds-2010-30T:3125,middle,-0.02,steer,2750.30517578125,1863.4405517578125,0.8642138330069498,2.048828982942638,0.630549430847168,0.21234534680843353,0.018771683797240257
ds-2010-30T:3125,middle,0.02,steer,1530.3553466796875,1863.4405517578125,0.8670320162057109,2.05551026749904,0.630366861820221,0.21705858409404755,0.020535064861178398
ds-2010-30T:3125,middle,0.05,steer,964.4049072265625,1863.4405517578125,0.8754412844855654,2.0754464552225675,0.6259264945983887,0.24513578414916992,0.022753840312361717
ds-2010-30T:6250,middle,0.0,baseline,-672.6103515625,42126.34375,0.8856376719846468,1.9347345124480786,0.7566211819648743,0.37473535537719727,0.0
ds-2010-30T:6250,middle,-0.05,steer,356.17132568359375,42126.34375,0.8806795387458054,1.9239031790385577,0.7629182934761047,0.36989378929138184,0.026728486642241478
ds-2010-30T:6250,middle,-0.02,steer,-226.5286865234375,42126.34375,0.8889391591174945,1.9419469361017807,0.7482619285583496,0.331885427236557,0.02839365042746067
ds-2010-30T:6250,middle,0.02,steer,-876.967041015625,42126.34375,0.8869528345818564,1.9376076056112894,0.7521817088127136,0.37196993827819824,0.028256874531507492
ds-2010-30T:6250,middle,0.05,steer,-657.192138671875,42126.34375,0.898296171967947,1.962387862970922,0.7495400309562683,0.3669337034225464,0.030311938375234604
ds-2010-30T:9375,middle,0.0,baseline,-3258.38037109375,9853.6875,0.7708543786367119,2.4901187492672494,0.5797984004020691,0.7299995422363281,0.0
ds-2010-30T:9375,middle,-0.05,steer,-1235.4599609375,9853.6875,0.8212569358241875,2.65293600330725,0.6097134947776794,0.7779401540756226,0.0936773419380188
ds-2010-30T:9375,middle,-0.02,steer,-2457.957763671875,9853.6875,0.7986247787946752,2.5798265268047307,0.5891447067260742,0.71370530128479,0.08864131569862366
ds-2010-30T:9375,middle,0.02,steer,-3155.6298828125,9853.6875,0.7581254633943182,2.4490001600725004,0.5977566838264465,0.8297116160392761,0.08263614773750305
ds-2010-30T:9375,middle,0.05,steer,-1633.00927734375,9853.6875,0.7649912147738006,2.4711787586995375,0.5856559872627258,0.7340251803398132,0.08671598881483078
ds-79-T:0,middle,0.0,baseline,-16315.056640625,5.167791366577148,1.0005491550873218,1.2188751318204898,0.6636733412742615,0.9962840676307678,0.0
ds-79-T:0,middle,-0.05,steer,-18026.708984375,5.167791366577148,0.9599392518024842,1.1694038979807053,0.6032869815826416,0.964126467704773,0.17194019258022308
ds-79-T:0,middle,-0.02,steer,-15361.732421875,5.167791366577148,1.0240690750404653,1.2475272429012225,0.6637539863586426,1.0484578609466553,0.15408389270305634
ds-79-T:0,middle,0.02,steer,-21183.7578125,5.167791366577148,1.0136733460871032,1.2348631019802367,0.6180846691131592,1.013728380203247,0.16452297568321228
ds-79-T:0,middle,0.05,steer,-28867.689453125,5.167791366577148,1.0261548255688764,1.250068117017537,0.6891958713531494,1.0014963150024414,0.1700359582901001
ds-79-T:5098,middle,0.0,baseline,-18546.28125,20.86639976501465,0.44567498044904663,0.5366834592834695,0.2910808324813843,0.8749620318412781,0.0
ds-79-T:5098,middle,-0.05,steer,-15242.482421875,20.86639976501465,0.3864555648732685,0.4653712200908375,0.3397262394428253,1.1864005327224731,0.106855109333992
ds-79-T:5098,middle,-0.02,steer,-18226.935546875,20.86639976501465,0.4255536965886967,0.5124533348629404,0.31747570633888245,1.0912436246871948,0.08438710123300552
ds-79-T:5098,middle,0.02,steer,-21198.892578125,20.86639976501465,0.3763090078795455,0.4531526986433884,0.2995090186595917,1.089647889137268,0.11435744166374207
ds-79-T:5098,middle,0.05,steer,-25016.650390625,20.86639976501465,0.45162153143025946,0.5438443179616642,0.32285276055336,1.120409369468689,0.11677952110767365
ds-79-T:10197,middle,0.0,baseline,2809.62109375,32.476959228515625,0.7331023186144234,1.9003018148445439,0.4771169126033783,1.9436585903167725,0.0
ds-79-T:10197,middle,-0.05,steer,2413.552001953125,32.476959228515625,0.759532189414087,1.9688116669776443,0.4439634084701538,1.7196482419967651,0.27669426798820496
ds-79-T:10197,middle,-0.02,steer,-10485.95703125,32.476959228515625,0.6533178508309655,1.6934895253787767,0.45502784848213196,2.134173631668091,0.26508957147598267
ds-79-T:10197,middle,0.02,steer,6812.71728515625,32.476959228515625,0.7547201234818706,1.9563381317125734,0.4683798849582672,1.7974101305007935,0.27377772331237793
ds-79-T:10197,middle,0.05,steer,3875.57470703125,32.476959228515625,0.7661402543931228,1.9859406782403644,0.4646698534488678,1.8733887672424316,0.27656686305999756
ds-79-T:15296,middle,0.0,baseline,-34641.25390625,7.840278625488281,0.7808479318026613,0.873110296779576,0.46715784072875977,0.8871352672576904,0.0
ds-79-T:15296,middle,-0.05,steer,-11075.0703125,7.840278625488281,0.6740691813152111,0.7537149283208026,0.4441032111644745,0.880025327205658,0.14185494184494019
ds-79-T:15296,middle,-0.02,steer,-31632.39453125,7.840278625488281,0.6549352731818184,0.7323202219657096,0.43339183926582336,0.9036368131637573,0.1469462364912033
ds-79-T:15296,middle,0.02,steer,-28049.7421875,7.840278625488281,0.7179813269787976,0.8028155854027136,0.45796898007392883,0.9894781112670898,0.17624080181121826
ds-79-T:15296,middle,0.05,steer,-20687.84765625,7.840278625488281,0.7560626133341345,0.8453964284545705,0.4792325496673584,0.9988242387771606,0.1668761968612671
ds-22-10S:0,middle,0.0,baseline,-3280.85546875,6.195954322814941,0.3946783414130127,0.32339561813780415,0.26137879490852356,0.6480915546417236,0.0
ds-22-10S:0,middle,-0.05,steer,-2660.522705078125,6.195954322814941,0.3957292993998114,0.32425677688826526,0.2639800012111664,0.6636040210723877,0.08797210454940796
ds-22-10S:0,middle,-0.02,steer,-3016.822509765625,6.195954322814941,0.3963279265897598,0.3247472844991077,0.26231205463409424,0.6542423963546753,0.08606613427400589
ds-22-10S:0,middle,0.02,steer,-3490.31396484375,6.195954322814941,0.39272689688039064,0.3217966337280108,0.2617126405239105,0.6525723934173584,0.08691361546516418
ds-22-10S:0,middle,0.05,steer,-3815.068359375,6.195954322814941,0.39792788640068105,0.3260582744075231,0.26117876172065735,0.6639580726623535,0.09059055149555206
ds-22-10S:5098,middle,0.0,baseline,8815.6796875,4.935620307922363,0.5036930711732249,0.47489460216671886,0.34218132495880127,1.0350449085235596,0.0
ds-22-10S:5098,middle,-0.05,steer,8782.462890625,4.935620307922363,0.5011794118014082,0.4725246828631444,0.3403348922729492,1.0254297256469727,0.13580329716205597
