mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,0.006324536232403427,860.21151179735,1986.0719382328018,1215.928169926924,1.292369678213535,0.0,1408
steer,-0.05,high,0.0030378483210039453,3972.438604187113,2028.0590944626786,2590.883652412807,1.0212081202113372,0.13479846749532953,1408
steer,-0.02,high,0.0036282120348584035,1665.6368145076021,1995.2835696001603,23196.2841486136,0.9883043568289313,0.09943637455181818,1408
steer,0.02,high,0.002991337215875815,1742.132355749401,1994.018751962163,1203.1670243995504,1.1483430664988687,0.09921104692582296,1408
steer,0.05,high,0.00327554118749421,3993.5021759001033,2026.0822850047962,3456.3459653710556,0.946957793237578,0.1431405093298963,1408
