window_id,subset,strength,mode,probe_score,forecast_regime_value,wape,mase,wql,median_spread,median_forecast_change
ds-355-T:0,high,0.0,baseline,-0.00429921131581068,0.0,0.0020052048222306885,0.055237237351598516,0.0012317524524405599,0.005307632498443127,0.0
ds-355-T:0,high,-0.05,steer,-0.003143738955259323,0.0,0.012151853593736935,0.3347462632133548,0.010011333972215652,0.005319049581885338,0.006589459255337715
ds-355-T:0,high,-0.02,steer,-0.003906543366611004,0.0,0.006100692618702937,0.16805535397304705,0.0039190188981592655,0.005438529886305332,0.0026597008109092712
ds-355-T:0,high,0.02,steer,-0.004594157449901104,0.0,0.001968212762575218,0.05421821966489626,0.0011758356122300029,0.004732013680040836,0.0025792447850108147
ds-355-T:0,high,0.05,steer,-0.004826185293495655,0.0,0.008044213414495915,0.2215933857515452,0.005941886454820633,0.0049089472740888596,0.006526315584778786
ds-355-T:5098,high,0.0,baseline,-0.01364319771528244,0.0,0.709465397082474,36.80660082657608,0.5263766646385193,0.740683913230896,0.0
ds-355-T:5098,high,-0.05,steer,-0.01583240181207657,0.0,0.6803514553726492,35.296188570519064,0.519808292388916,0.704572856426239,0.11496289819478989
ds-355-T:5098,high,-0.02,steer,-0.014696910977363586,0.0,0.693612530249631,35.98416446269872,0.5120195746421814,0.7277271747589111,0.08445663750171661
ds-355-T:5098,high,0.02,steer,-0.012500155717134476,0.0,0.6933025637931017,35.96808360564492,0.5320060849189758,0.7210499048233032,0.11585495620965958
ds-355-T:5098,high,0.05,steer,-0.010688140988349915,0.0,0.7669026940867264,39.78641023248465,0.5391179919242859,0.7819387912750244,0.16140109300613403
ds-355-T:10197,high,0.0,baseline,0.0033771987073123455,0.0,0.0880013129810639,3.6702163517972446,0.06690895557403564,0.40327510237693787,0.0
ds-355-T:10197,high,-0.05,steer,0.0029148743487894535,0.0,0.08834993815301552,3.684756246298822,0.06456686556339264,0.3698672652244568,0.031032908707857132
ds-355-T:10197,high,-0.02,steer,0.0032804161310195923,0.0,0.08390565199182612,3.4994011511495775,0.06281226128339767,0.36068302392959595,0.035925500094890594
ds-355-T:10197,high,0.02,steer,0.0033449530601501465,0.0,0.089127808706721,3.717198412547021,0.07678135484457016,0.4629460871219635,0.029452189803123474
ds-355-T:10197,high,0.05,steer,0.003041015937924385,0.0,0.08915562922029628,3.718358705506074,0.06481023132801056,0.3419112265110016,0.031958963721990585
ds-355-T:15296,high,0.0,baseline,0.0009986236691474915,0.0,0.31914726000404575,204.0727384872608,0.21151073276996613,64.91500091552734,0.0
ds-355-T:15296,high,-0.05,steer,-0.0024989666417241096,0.0,0.3260842318852059,208.50845524252773,0.20418059825897217,36.6223258972168,4.066716194152832
