mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,-338.87561559677124,0.5221493170831053,4759.2288916355365,0.4816707991049043,1.2511163040787021,0.0,96
baseline,0.0,low,-4791.446537724248,13592.12538417242,70.68772855049683,52315.040810606304,0.43830261322374575,0.0,243
baseline,0.0,middle,661.1813475214296,1315.6414499889936,32.7285117398248,1255.5771299797261,0.7602564176985062,0.0,1037
steer,-0.05,high,-1503.2430715560913,0.5716162961048696,4792.926063647331,0.519101122985982,0.9340546141465893,0.11728716494690161,96
steer,-0.05,low,-6175.107741618844,383980.76472506346,1515.4203146416498,342701.49861858063,0.37473969874278845,0.06681839646694898,243
steer,-0.05,middle,552.2443609950398,38085.603316760054,45.20344268205901,34017.02461480163,0.6352791219142336,0.09540768001244737,1037
steer,-0.02,high,591.022355000178,0.5348418682062926,4760.282858161456,0.48287541380947613,1.041292464734094,0.10758902636613736,96
steer,-0.02,low,-1850.2964728712545,75062.8723069137,134.18930141579335,104145.43549193414,0.4145414924839274,0.05837891655380036,243
steer,-0.02,middle,1171.5772582323596,8173.712913072755,33.39355175560215,5612.723086210697,0.7074523029182997,0.09109530393345185,1037
steer,0.02,high,-3124.8758770624795,0.5445823240859885,4762.8514880512475,0.5025487194264618,1.211084492635564,0.10433437390990245,96
steer,0.02,low,-9858.28875343103,83782.02832494295,136.21881345019378,85377.82620929007,0.483698401476521,0.059816529094040345,243
steer,0.02,middle,-34.54793564769778,9117.94878079773,33.47099339372366,6665.355017913836,0.8125509836218385,0.09605377536517834,1037
steer,0.05,high,-3644.8963969548545,0.5907353862737078,4794.645156359845,0.5471045679102341,1.3341754099916823,0.1289550277967161,96
steer,0.05,low,-10452.282609947424,297362.317601137,1062.0775134158011,263741.06994758156,0.5066088648913466,0.07332383457345144,243
steer,0.05,middle,-176.04424932584698,31751.37559803086,41.580264664220664,28456.093568155004,0.8998853512918406,0.10814876937605584,1037
