name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_-1__all_context__per_variate,current_sparsity,-1,all_context,per_variate,-0.2728363,0.061813805,0.009565055
current_sparsity__layer_-1__all_context__series_mean,current_sparsity,-1,all_context,series_mean,-0.28399122,0.053507105,0.01037951
current_sparsity__layer_-1__final_context__per_variate,current_sparsity,-1,final_context,per_variate,-0.29555124,0.06518758,0.008421497
current_sparsity__layer_-1__final_context__series_mean,current_sparsity,-1,final_context,series_mean,-0.29056525,0.052241307,0.009989534
current_sparsity__layer_-1__first_decode__per_variate,current_sparsity,-1,first_decode,per_variate,-0.28057936,0.053545658,0.01081352
current_sparsity__layer_-1__first_decode__series_mean,current_sparsity,-1,first_decode,series_mean,-0.28040424,0.053308845,0.010647524
current_sparsity__layer_0__all_context__per_variate,current_sparsity,0,all_context,per_variate,-0.27290136,0.062014643,0.009536868
current_sparsity__layer_0__all_context__series_mean,current_sparsity,0,all_context,series_mean,-0.28402045,0.053602267,0.010364604
current_sparsity__layer_0__final_context__per_variate,current_sparsity,0,final_context,per_variate,-0.29562044,0.065383874,0.008408549
current_sparsity__layer_0__final_context__series_mean,current_sparsity,0,final_context,series_mean,-0.2905968,0.052341953,0.0099826595
current_sparsity__layer_0__first_decode__per_variate,current_sparsity,0,first_decode,per_variate,-0.28062335,0.053746194,0.0108157275
current_sparsity__layer_0__first_decode__series_mean,current_sparsity,0,first_decode,series_mean,-0.2804092,0.05341644,0.010620705
current_sparsity__layer_1__all_context__per_variate,current_sparsity,1,all_context,per_variate,-0.27329126,0.06182825,0.00986055
current_sparsity__layer_1__all_context__series_mean,current_sparsity,1,all_context,series_mean,-0.28421438,0.05352759,0.010512978
current_sparsity__layer_1__final_context__per_variate,current_sparsity,1,final_context,per_variate,-0.2959877,0.06517211,0.008721772
current_sparsity__layer_1__final_context__series_mean,current_sparsity,1,final_context,series_mean,-0.29077417,0.052237578,0.010130834
current_sparsity__layer_1__first_decode__per_variate,current_sparsity,1,first_decode,per_variate,-0.28097394,0.05355778,0.011126545
current_sparsity__layer_1__first_decode__series_mean,current_sparsity,1,first_decode,series_mean,-0.28057662,0.053340632,0.010763451
current_sparsity__layer_2__all_context__per_variate,current_sparsity,2,all_context,per_variate,-0.2735119,0.061926637,0.010660161
current_sparsity__layer_2__all_context__series_mean,current_sparsity,2,all_context,series_mean,-0.28432578,0.053567212,0.0108831
current_sparsity__layer_2__final_context__per_variate,current_sparsity,2,final_context,per_variate,-0.29619408,0.06527714,0.009475916
current_sparsity__layer_2__final_context__series_mean,current_sparsity,2,final_context,series_mean,-0.2908865,0.052299026,0.010483617
current_sparsity__layer_2__first_decode__per_variate,current_sparsity,2,first_decode,per_variate,-0.2811659,0.053646855,0.011844797
current_sparsity__layer_2__first_decode__series_mean,current_sparsity,2,first_decode,series_mean,-0.28066766,0.053365663,0.011113154
current_sparsity__layer_3__all_context__per_variate,current_sparsity,3,all_context,per_variate,-0.2739474,0.061534718,0.010802257
