mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,12564.962524414062,0.6062395492376975,36416.098812337725,0.5327864200808108,1.404842932272004,0.0,48
baseline,0.0,low,-557.2648934500558,2414.483202629899,58.83046570677506,4388.347861319349,0.38798224245321616,0.0,490
baseline,0.0,middle,-1883.3348686481345,0.5288171278300896,1171.5270582986766,0.39593008239884847,1.1861881945782673,0.0,870
steer,-0.05,high,-2273.291779359182,0.6211442555978651,36421.13032011437,0.5441822636639699,1.4515385431441246,0.21805169038755898,48
steer,-0.05,low,-3316.6309915036572,5175.5122538111455,89.17131692402008,4251.2338005133915,0.3866745522450086,0.05527014967983075,490
steer,-0.05,middle,-5045.044631751926,0.5363766740380325,1172.0642461939553,0.40066536417181287,1.2315693450435974,0.1503380634774783,870
steer,-0.02,high,8153.615357716878,0.6104200103201033,36418.23859574522,0.533017830302318,1.5255064866360044,0.14482921495740206,48
steer,-0.02,low,-161.28133498211295,3001.8700291625723,65.46224809633573,45376.05530922452,0.38933901826813055,0.04805017617181875,490
steer,-0.02,middle,-2856.082482622204,0.529194829727939,1171.6626074340004,0.3981891873140332,1.8140621553694336,0.11168263097361919,870
steer,0.02,high,12790.97569656372,0.6036990070269007,36417.146328943,0.5290351930307224,1.3919566962722456,0.13542948154645273,48
steer,0.02,low,-3043.4516070930326,2860.1014191679487,62.03040416664925,13222.816083944103,0.43049780319359304,0.047571992684554844,490
steer,0.02,middle,-1768.4592445285841,0.5300442329307424,1171.4485721642777,0.3997603328473031,1.3204267039185862,0.11147739488408023,870
steer,0.05,high,6824.764960924785,0.6117755652415109,36418.22271796285,0.5360596951407691,1.4012083473644452,0.16876561764001963,48
steer,0.05,low,-4638.429739348742,4873.702736971501,83.88070993434553,3773.256196270517,0.47308865222291147,0.053216274482689854,490
steer,0.05,middle,-2203.823826870973,0.5397654932334707,1172.2611850117414,0.4106521775689355,1.2613689578194491,0.14572843419061438,870
