label,task_type,method,model_id,weight_source,backbone_train_mode,checkpoint_path,randomize_scope,randomize_layers,seed,layer,token_position,pooling_mode,artifact_path,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,baseline_train_accuracy,baseline_train_macro_f1,baseline_val_accuracy,baseline_val_macro_f1,baseline_test_accuracy,baseline_test_macro_f1,shuffled_train_accuracy,shuffled_train_macro_f1,shuffled_val_accuracy,shuffled_val_macro_f1,shuffled_test_accuracy,shuffled_test_macro_f1,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,baseline_train_r2,baseline_train_rmse,baseline_train_mae,baseline_val_r2,baseline_val_rmse,baseline_val_mae,baseline_test_r2,baseline_test_rmse,baseline_test_mae,shuffled_train_r2,shuffled_train_rmse,shuffled_train_mae,shuffled_val_r2,shuffled_val_rmse,shuffled_val_mae,shuffled_test_r2,shuffled_test_rmse,shuffled_test_mae,run_arm,issue3_matched_metric_name,issue3_reference
cardinality_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/cardinality_bucket__fno__window.pt,0.9883449883449884,0.9913344788021408,0.9697916666666668,0.9566781333365216,0.9737827715355806,0.961427315378758,0.7622377622377622,0.6139077245889796,0.7739583333333333,0.6153621489899659,0.7715355805243446,0.6440320602589389,0.3247863247863248,0.2201092963284921,0.3385416666666667,0.2220931907331645,0.298689138576779,0.1970051777116049,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
domain,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/domain__fno__window.pt,0.5630498533724341,0.464450564032884,0.5205843293492696,0.354707564921271,0.4867358708189158,0.3055611742512035,0.3890518084066471,0.3742380771401452,0.4249667994687915,0.400219479860032,0.3875432525951557,0.3648154914139569,0.4271749755620723,0.2496632235615394,0.4873837981407702,0.2958405456331751,0.4913494809688581,0.2912967213739663,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
frequency_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/frequency_bucket__fno__window.pt,0.7676767676767676,0.6529367253233089,0.7291666666666666,0.6078209551822312,0.7265917602996255,0.3937901698170512,0.5027195027195027,0.4617680730606974,0.478125,0.4477912684060966,0.4747191011235955,0.4218364461856904,0.8422688422688422,0.4571910586250527,0.8197916666666667,0.4504865483686319,0.8539325842696629,0.4668953424377007,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
metric_type,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/metric_type__fno__window.pt,0.3694779116465863,0.3717959601689438,0.252985884907709,0.2459339530525971,0.3167641325536062,0.3155997780733066,0.3670682730923695,0.3411676709397024,0.3680781758957654,0.3533098400156462,0.347953216374269,0.3325720813091838,0.3927710843373494,0.3237195202544446,0.3192182410423452,0.2663878706068667,0.3538011695906433,0.2949547962817945,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
frequency_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],43,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/frequency_bucket__layer_5__final_context__series_mean.pt,1.0,1.0,0.8632958801498127,0.7370629181955537,0.8556201550387597,0.7370475824034886,0.4461028192371476,0.4047137688869972,0.4082397003745318,0.3830020622175419,0.4738372093023256,0.4303958430533066,0.7827529021558872,0.5013068181818182,0.7209737827715356,0.536293542051554,0.6967054263565892,0.5042535395004413,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.835
metric_type,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],43,9,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/metric_type__layer_9__all_context__series_mean.pt,0.7584092881944444,0.7423171487649775,0.6134125840537944,0.578905340306416,0.615990990990991,0.575795450492753,0.4079861111111111,0.3704832522887502,0.3611911623439001,0.3302126698584217,0.4204204204204204,0.3898302790623296,0.3538411458333333,0.3330225826793332,0.3396974063400576,0.321402369894967,0.3521646646646647,0.3362361344286252,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.61
domain,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],43,5,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/domain__layer_5__all_context__series_mean.pt,0.717814371257485,0.6820556720795902,0.5187720848056537,0.4678932274053117,0.5425185873605948,0.4879400403589233,0.4241516966067864,0.4160437050189278,0.408716136631331,0.3957265088793338,0.4114002478314746,0.3914636510649245,0.3486152694610778,0.3235776009040802,0.3517373380447585,0.320468333890845,0.3355018587360595,0.3112973549949391,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.592
shift_risk,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],43,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/shift_risk__layer_5__final_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.3899711440364806,79650.15428569526,22195.07412805768,-2.8024717163771653,147001.19298747228,86399.6343096962,-0.5158897171395653,136987.11561103148,84838.51636125061,0.0084655263751908,101546.5893156287,26671.036988077503,0.045665465251105,73644.13799491504,26166.917776490896,0.0489548423572632,108504.18447918394,29310.70504630991,-0.6200467200601278,129800.15217157589,50928.5863050124,-9.90821714988408,248980.1650650604,162959.13913243657,-5.100020533087751,274796.7336744186,168090.66555761622,pretrained_lp,test_r2,0.165
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],43,11,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/coordination__layer_11__all_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.3170784515710878,0.3818864555858137,0.3191099585526273,0.0028384235328892,0.4565908534107048,0.3804475344076949,0.0469313453251555,0.4347281035105413,0.3594188874830328,0.0920741196525967,0.4403257111622543,0.4070031207796879,0.0703148869587931,0.4408718583300152,0.4073406771729732,0.0377266460146485,0.4368223525182792,0.3981151520007834,-0.0433723938585064,0.4720288228295923,0.4429682213004871,-0.0383795931178707,0.4659319712189441,0.434299430151047,-0.062193424685065,0.4589416024950578,0.4230711787510969,pretrained_lp,test_r2,0.122
frequency_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],43,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed43/probes/artifacts/frequency_bucket__layer_5__final_context__series_mean.pt,0.8200663349917081,0.6967795382788287,0.6910112359550562,0.5019642201057005,0.7054263565891473,0.5231952338976869,0.4461028192371476,0.4047137688869972,0.4082397003745318,0.3830020622175419,0.4738372093023256,0.4303958430533066,0.6724709784411277,0.4685903035049145,0.6825842696629213,0.5090147938904175,0.7034883720930233,0.5024452959564384,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_init_lp,test_accuracy,0.835
