label,epoch,field,n,mean,ci_half,run_arm
cardinality_bucket,1.0,epoch_time_s,5,0.4305108471948188,0.2670022668368889,fno
cardinality_bucket,1.0,train_loss,5,1.3713407981385966,0.025185402777955203,fno
cardinality_bucket,1.0,val_loss,5,1.268706094716862,0.09531831096009206,fno
cardinality_bucket,2.0,epoch_time_s,5,0.43029959840350784,0.2682312021832341,fno
cardinality_bucket,2.0,train_loss,5,1.012983745897716,0.09487173783698855,fno
cardinality_bucket,2.0,val_loss,5,0.8460830635138773,0.11839331207145996,fno
cardinality_bucket,3.0,epoch_time_s,5,0.42994048779364674,0.2685935399824596,fno
cardinality_bucket,3.0,train_loss,5,0.7260449503229492,0.038852189761369366,fno
cardinality_bucket,3.0,val_loss,5,0.6284864769014635,0.024128913018613803,fno
cardinality_bucket,4.0,epoch_time_s,5,0.31227073799818755,0.06244812822970649,fno
cardinality_bucket,4.0,train_loss,5,0.5203181155439234,0.034139081060240974,fno
cardinality_bucket,4.0,val_loss,5,0.5102966794508004,0.061693525861741066,fno
cardinality_bucket,5.0,epoch_time_s,5,0.3631280980014708,0.13870129425294725,fno
cardinality_bucket,5.0,train_loss,5,0.41273123898325925,0.0448156211458433,fno
cardinality_bucket,5.0,val_loss,5,0.4242844350149254,0.05254305419965076,fno
cardinality_bucket,6.0,epoch_time_s,5,0.31147592641063965,0.06406289597396823,fno
cardinality_bucket,6.0,train_loss,5,0.30177296855631025,0.044730328363762235,fno
cardinality_bucket,6.0,val_loss,5,0.31809084330572324,0.043106094910902865,fno
cardinality_bucket,7.0,epoch_time_s,5,0.3736364086042158,0.15943189672932834,fno
cardinality_bucket,7.0,train_loss,5,0.2182709358982152,0.0380999266030253,fno
cardinality_bucket,7.0,val_loss,5,0.24643938966074383,0.03388241333215469,fno
cardinality_bucket,8.0,epoch_time_s,5,0.31231137879076415,0.062356987370830154,fno
cardinality_bucket,8.0,train_loss,5,0.1729221187814158,0.03512084974053026,fno
cardinality_bucket,8.0,val_loss,5,0.2341348461931161,0.03307678367029423,fno
cardinality_bucket,9.0,epoch_time_s,5,0.3118177536001895,0.06296037407454898,fno
cardinality_bucket,9.0,train_loss,5,0.14227484403987692,0.02871554242314136,fno
cardinality_bucket,9.0,val_loss,5,0.23096399189374806,0.06728834252710462,fno
cardinality_bucket,10.0,epoch_time_s,5,0.3119832267984748,0.06467143914385969,fno
cardinality_bucket,10.0,train_loss,5,0.11388798342751896,0.03442139126078229,fno
cardinality_bucket,10.0,val_loss,5,0.21729843619833536,0.06045145239796382,fno
cardinality_bucket,11.0,epoch_time_s,5,0.31340202600113115,0.06473834197984961,fno
cardinality_bucket,11.0,train_loss,5,0.09242914942359297,0.015124517388488381,fno
cardinality_bucket,11.0,val_loss,5,0.1573736139366899,0.04191035955655857,fno
cardinality_bucket,12.0,epoch_time_s,5,0.31136757959611716,0.06395588060610902,fno
cardinality_bucket,12.0,train_loss,5,0.09150806452426877,0.01863266879159137,fno
cardinality_bucket,12.0,val_loss,5,0.17855588522870636,0.010777384184708205,fno
cardinality_bucket,13.0,epoch_time_s,5,0.3992047166102566,0.2011069706337115,fno
cardinality_bucket,13.0,train_loss,5,0.07055507907315425,0.015956815556636333,fno
cardinality_bucket,13.0,val_loss,5,0.14098176853155367,0.011597209090383672,fno
cardinality_bucket,14.0,epoch_time_s,5,0.3114570127858315,0.06439470049004874,fno
cardinality_bucket,14.0,train_loss,5,0.05870761896450936,0.008562072917806257,fno
cardinality_bucket,14.0,val_loss,5,0.17547756213448978,0.06018080940759194,fno
cardinality_bucket,15.0,epoch_time_s,5,0.3120425709988922,0.06395104209286805,fno
cardinality_bucket,15.0,train_loss,5,0.06376739056236906,0.03117842347727241,fno
cardinality_bucket,15.0,val_loss,5,0.15720888738856026,0.03306626827777756,fno
cardinality_bucket,16.0,epoch_time_s,5,0.3945729838043917,0.19583932038118765,fno
cardinality_bucket,16.0,train_loss,5,0.05848900970391944,0.03670882859836238,fno
cardinality_bucket,16.0,val_loss,5,0.18177108826785893,0.04796514850901979,fno
coordination,1.0,epoch_time_s,5,0.32853155059274286,0.08221212624723641,fno
coordination,1.0,train_loss,5,0.25977051312903765,0.016603994439347614,fno
coordination,1.0,val_loss,5,0.20710252873076693,0.0011803251115945514,fno
coordination,2.0,epoch_time_s,5,0.31340571920154614,0.06554347504082002,fno
coordination,2.0,train_loss,5,0.206621965273523,0.0034567348312368033,fno
coordination,2.0,val_loss,5,0.2067498623996634,0.003997100492456043,fno
coordination,3.0,epoch_time_s,5,0.31162150879972617,0.0645081636424878,fno
coordination,3.0,train_loss,5,0.2032675907304898,0.0036746305359209907,fno
coordination,3.0,val_loss,5,0.2048673666697197,0.0027247501016007835,fno
coordination,4.0,epoch_time_s,5,0.3159999649913516,0.0586759772385187,fno
coordination,4.0,train_loss,5,0.20118284708069406,0.004259423235502411,fno
coordination,4.0,val_loss,5,0.20475201508824462,0.0023939582702754247,fno
coordination,5.0,epoch_time_s,5,0.31465492239804005,0.06553005902572567,fno
coordination,5.0,train_loss,5,0.19879973804361767,0.003890965473014103,fno
coordination,5.0,val_loss,5,0.20214704891278404,0.002314615089682307,fno
coordination,6.0,epoch_time_s,5,0.40021443080040625,0.2178874797991577,fno
coordination,6.0,train_loss,5,0.1962855723826684,0.0042560445640139844,fno
coordination,6.0,val_loss,5,0.20433478930505547,0.003736130123032352,fno
coordination,7.0,epoch_time_s,5,0.3078013813996222,0.05438711214458985,fno
coordination,7.0,train_loss,5,0.19412856460855205,0.0034743726569426525,fno
coordination,7.0,val_loss,5,0.20174527903209172,0.004041058033133861,fno
coordination,8.0,epoch_time_s,5,0.30683781479601746,0.054944184734099566,fno
