seed,label,run_arm,train_total_time_s,peak_vram_bytes,peak_vram_reserved_bytes,approx_forward_flops_per_sample,approx_total_flops,parameter_count,inference_batch_latency_ms,inference_sample_latency_ms
43,future_sparsity,fno,9.328345804009587,3415332864.0,5670699008.0,12356784.0,1817188655040.0,46345.0,0.6165704398881644,0.009633913123252569
43,metric_type,fno,9.019971483008703,3303799296.0,3636461568.0,12356880.0,1734905952000.0,46395.0,0.6123472598847002,0.00956792593569844
43,shift_risk,fno,9.31435482300003,3415332864.0,5670699008.0,12356784.0,1817188655040.0,46345.0,0.6174662598641589,0.009647910310377483
44,cardinality_bucket,pretrained_lp,52.46411530600744,0.0,0.0,,,,,
44,coordination,pretrained_lp,0.9762769500084687,0.0,0.0,,,,,
44,current_burstiness,pretrained_lp,6.58172863200889,0.0,0.0,,,,,
44,current_sparsity,pretrained_lp,0.7445013689866755,0.0,0.0,,,,,
44,domain,pretrained_lp,6.172680574003607,0.0,0.0,,,,,
44,frequency_bucket,pretrained_lp,6.281826291990001,0.0,0.0,,,,,
44,future_burstiness,pretrained_lp,1.0165398060053121,0.0,0.0,,,,,
44,future_sparsity,pretrained_lp,0.7377513330138754,0.0,0.0,,,,,
44,metric_type,pretrained_lp,7.3150917569873855,0.0,0.0,,,,,
44,shift_risk,pretrained_lp,0.7635715609940235,0.0,0.0,,,,,
44,cardinality_bucket,random_init_lp,3.993611271987902,0.0,0.0,,,,,
44,coordination,random_init_lp,0.4529087239934597,0.0,0.0,,,,,
44,current_burstiness,random_init_lp,6.532777421001811,0.0,0.0,,,,,
44,current_sparsity,random_init_lp,0.15228376601589844,0.0,0.0,,,,,
44,domain,random_init_lp,4.454583970014937,0.0,0.0,,,,,
44,frequency_bucket,random_init_lp,16.138958784984425,0.0,0.0,,,,,
44,future_burstiness,random_init_lp,6.524524950014893,0.0,0.0,,,,,
44,future_sparsity,random_init_lp,0.0764719029830303,0.0,0.0,,,,,
44,metric_type,random_init_lp,24.99893313497887,0.0,0.0,,,,,
44,shift_risk,random_init_lp,6.212816665996797,0.0,0.0,,,,,
44,cardinality_bucket,fno,9.8894318669918,3413225984.0,5664407552.0,12356928.0,1845012919680.0,46420.0,0.6795283197425306,0.01061762999597704
44,coordination,fno,9.613918636983726,3413225472.0,5664407552.0,12356784.0,1844991419040.0,46345.0,0.680415520328097,0.010631492505126516
44,current_burstiness,fno,9.740222817985341,3413225472.0,5664407552.0,12356784.0,1844991419040.0,46345.0,0.6809382204664871,0.010639659694788861
44,current_sparsity,fno,9.731288765993668,3413225472.0,5664407552.0,12356784.0,1844991419040.0,46345.0,0.6803971400950104,0.010631205313984537
44,domain,fno,7.738291446992662,2716348928.0,3642753024.0,12356880.0,1434633768000.0,46395.0,0.6810536998091266,0.010641464059517602
44,frequency_bucket,fno,9.718055153003661,3413225984.0,5664407552.0,12356880.0,1845005752800.0,46395.0,0.7228058396140113,0.011293841243968927
44,future_burstiness,fno,9.611582357989391,3413225472.0,5664407552.0,12356784.0,1844991419040.0,46345.0,0.6810609600506723,0.010641577500791755
44,future_sparsity,fno,9.56182092500967,3413225472.0,5664407552.0,12356784.0,1844991419040.0,46345.0,0.680192339932546,0.010628005311446032
44,metric_type,fno,9.657081312994706,3288793600.0,3642753024.0,12356880.0,1774942243200.0,46395.0,0.678054679883644,0.010594604373181937
44,shift_risk,fno,9.389579857990611,3413225472.0,5664407552.0,12356784.0,1844991419040.0,46345.0,0.6802228599553928,0.010628482186803012
45,cardinality_bucket,pretrained_lp,74.17685868398985,0.0,0.0,,,,,
45,coordination,pretrained_lp,1.0904658650106285,0.0,0.0,,,,,
45,current_burstiness,pretrained_lp,4.280802175984718,0.0,0.0,,,,,
45,current_sparsity,pretrained_lp,1.0695975289854687,0.0,0.0,,,,,
45,domain,pretrained_lp,11.82567606001976,0.0,0.0,,,,,
45,frequency_bucket,pretrained_lp,5.297371263004607,0.0,0.0,,,,,
45,future_burstiness,pretrained_lp,6.420664937002584,0.0,0.0,,,,,
45,future_sparsity,pretrained_lp,1.02999762899708,0.0,0.0,,,,,
45,metric_type,pretrained_lp,38.76066452200757,0.0,0.0,,,,,
45,shift_risk,pretrained_lp,5.564926346996799,0.0,0.0,,,,,
45,cardinality_bucket,random_init_lp,14.991890558972955,0.0,0.0,,,,,
45,coordination,random_init_lp,2.8691165689961053,0.0,0.0,,,,,
45,current_burstiness,random_init_lp,8.04508029500721,0.0,0.0,,,,,
45,current_sparsity,random_init_lp,0.24476518700248562,0.0,0.0,,,,,
45,domain,random_init_lp,116.72032290999778,0.0,0.0,,,,,
45,frequency_bucket,random_init_lp,6.47303373599425,0.0,0.0,,,,,
45,future_burstiness,random_init_lp,5.402808161015855,0.0,0.0,,,,,
45,future_sparsity,random_init_lp,0.27623708901228383,0.0,0.0,,,,,
45,metric_type,random_init_lp,9.625630574999377,0.0,0.0,,,,,
45,shift_risk,random_init_lp,6.141887787001906,0.0,0.0,,,,,
45,cardinality_bucket,fno,13.71236751100514,3381067264.0,5653921792.0,12356928.0,1834781383296.0,46420.0,1.3042324397247285,0.020378631870698882
45,coordination,fno,12.563416563003557,3381066752.0,5653921792.0,12356784.0,1834760001888.0,46345.0,1.3020847999723628,0.02034507499956817
45,current_burstiness,fno,12.314784854999743,3381066752.0,5653921792.0,12356784.0,1834760001888.0,46345.0,1.3051324395928532,0.02039269436863833
45,current_sparsity,fno,19.945295046985848,3381066752.0,5653921792.0,12356784.0,1834760001888.0,46345.0,1.321928699617274,0.020655135931519908
45,domain,fno,11.158239826007048,2699422208.0,3623878656.0,12356880.0,1470444006240.0,46395.0,1.3160974398488179,0.02056402249763778
45,frequency_bucket,fno,44.81946860498283,3381067264.0,5653921792.0,12356880.0,1834774256160.0,46395.0,1.3122444599866867,0.02050381968729198
45,future_burstiness,fno,12.29558966102195,3381066752.0,5653921792.0,12356784.0,1834760001888.0,46345.0,1.30422179994639,0.020378465624162345
45,future_sparsity,fno,13.090771668998059,3381066752.0,5653921792.0,12356784.0,1834760001888.0,46345.0,1.3016378798056394,0.020338091871963115
45,metric_type,fno,14.310073065018514,3274701312.0,3621781504.0,12356880.0,1782282229920.0,46395.0,1.3050359196495265,0.02039118624452385
