epoch,epoch_time_s,train_loss,train_eval_loss,val_loss,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,seed,label,run_arm,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae
1.0,0.26898802202777006,1.3203363249331346,1.0605043875582425,1.0951514065265655,0.6713286713286714,0.3986872130388531,0.6854166666666667,0.3956009615384615,42,cardinality_bucket,fno,,,,,,
2.0,0.2673711860261392,0.8586177936306706,0.7144799129462537,0.74881388793389,0.6930846930846931,0.49657715534424474,0.709375,0.49099436389318996,42,cardinality_bucket,fno,,,,,,
3.0,0.2643151890079025,0.6831102102626989,0.5751244411056424,0.6429849574963252,0.7668997668997669,0.6991479026607523,0.7770833333333333,0.6825077961404855,42,cardinality_bucket,fno,,,,,,
4.0,0.26575559499906376,0.5362674549773887,0.43600809169404303,0.5295443529884021,0.8329448329448329,0.8105550156409458,0.825,0.772616263666766,42,cardinality_bucket,fno,,,,,,
5.0,0.2688486549886875,0.4376650673371774,0.3489246281944675,0.4431764471034209,0.9277389277389277,0.9132250761878076,0.9010416666666666,0.8700505621330017,42,cardinality_bucket,fno,,,,,,
6.0,0.26160994201200083,0.2873734462960267,0.25964338474987464,0.37332277180006107,0.8951048951048951,0.887088420445083,0.878125,0.8478414772235592,42,cardinality_bucket,fno,,,,,,
7.0,0.26754947399604134,0.18282023343591042,0.14972744716538322,0.27760446950172385,0.9549339549339549,0.938829150231423,0.9364583333333333,0.9055435435741271,42,cardinality_bucket,fno,,,,,,
8.0,0.27120409900089726,0.12957818902753018,0.0942012402171522,0.2619470864844819,0.972027972027972,0.9662317111471252,0.9447916666666667,0.91421058708038,42,cardinality_bucket,fno,,,,,,
9.0,0.26744155600317754,0.09962934018170208,0.1189042278163043,0.29312152763983856,0.9603729603729604,0.9594092724825102,0.9416666666666667,0.9226911837617379,42,cardinality_bucket,fno,,,,,,
10.0,0.2624829380074516,0.08795078702408958,0.08760247995680268,0.244904604072993,0.9735819735819736,0.9741261131645673,0.946875,0.9274145592934494,42,cardinality_bucket,fno,,,,,,
11.0,0.2700646049925126,0.06573463098525449,0.04365402120337994,0.16836278634145857,0.9891219891219891,0.987241344024757,0.9666666666666667,0.9471276295333283,42,cardinality_bucket,fno,,,,,,
