name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_-1__all_context__per_variate,current_sparsity,-1,all_context,per_variate,0.4603701,0.008380767,0.02566604
current_sparsity__layer_-1__all_context__series_mean,current_sparsity,-1,all_context,series_mean,0.46776718,0.0073515037,0.023842938
current_sparsity__layer_-1__final_context__per_variate,current_sparsity,-1,final_context,per_variate,0.44630525,0.014571357,0.02404862
current_sparsity__layer_-1__final_context__series_mean,current_sparsity,-1,final_context,series_mean,0.46180907,0.0094904015,0.021966944
current_sparsity__layer_-1__first_decode__per_variate,current_sparsity,-1,first_decode,per_variate,0.46579784,0.0076490054,0.023790382
current_sparsity__layer_-1__first_decode__series_mean,current_sparsity,-1,first_decode,series_mean,0.46572414,0.007712857,0.023580767
current_sparsity__layer_0__all_context__per_variate,current_sparsity,0,all_context,per_variate,0.46032757,0.008254807,0.025837667
current_sparsity__layer_0__all_context__series_mean,current_sparsity,0,all_context,series_mean,0.4677355,0.00726328,0.023953302
current_sparsity__layer_0__final_context__per_variate,current_sparsity,0,final_context,per_variate,0.44627807,0.014451195,0.024230113
current_sparsity__layer_0__final_context__series_mean,current_sparsity,0,final_context,series_mean,0.46177846,0.009400104,0.0220907
current_sparsity__layer_0__first_decode__per_variate,current_sparsity,0,first_decode,per_variate,0.46576506,0.0075324713,0.023951955
current_sparsity__layer_0__first_decode__series_mean,current_sparsity,0,first_decode,series_mean,0.4656929,0.007627098,0.023678595
current_sparsity__layer_1__all_context__per_variate,current_sparsity,1,all_context,per_variate,0.46037462,0.008141177,0.026011096
current_sparsity__layer_1__all_context__series_mean,current_sparsity,1,all_context,series_mean,0.4677666,0.0071833786,0.02406305
current_sparsity__layer_1__final_context__per_variate,current_sparsity,1,final_context,per_variate,0.44632235,0.014346514,0.024386786
current_sparsity__layer_1__final_context__series_mean,current_sparsity,1,final_context,series_mean,0.46181956,0.009328576,0.022207422
current_sparsity__layer_1__first_decode__per_variate,current_sparsity,1,first_decode,per_variate,0.46580938,0.007446366,0.024099192
current_sparsity__layer_1__first_decode__series_mean,current_sparsity,1,first_decode,series_mean,0.46572384,0.0075462502,0.023755696
current_sparsity__layer_2__all_context__per_variate,current_sparsity,2,all_context,per_variate,0.4603325,0.008072392,0.026116438
current_sparsity__layer_2__all_context__series_mean,current_sparsity,2,all_context,series_mean,0.4677451,0.0071366015,0.024141287
current_sparsity__layer_2__final_context__per_variate,current_sparsity,2,final_context,per_variate,0.44627014,0.0142797055,0.024482194
current_sparsity__layer_2__final_context__series_mean,current_sparsity,2,final_context,series_mean,0.4618034,0.0092742415,0.022278603
current_sparsity__layer_2__first_decode__per_variate,current_sparsity,2,first_decode,per_variate,0.465748,0.007405024,0.024189694
current_sparsity__layer_2__first_decode__series_mean,current_sparsity,2,first_decode,series_mean,0.46569192,0.0075252745,0.023844542
current_sparsity__layer_3__all_context__per_variate,current_sparsity,3,all_context,per_variate,0.46034142,0.008097282,0.026314694
current_sparsity__layer_3__all_context__series_mean,current_sparsity,3,all_context,series_mean,0.4677462,0.007146009,0.024265831
current_sparsity__layer_3__final_context__per_variate,current_sparsity,3,final_context,per_variate,0.44627753,0.014316029,0.024687957
current_sparsity__layer_3__final_context__series_mean,current_sparsity,3,final_context,series_mean,0.46180955,0.009287677,0.022414666
current_sparsity__layer_3__first_decode__per_variate,current_sparsity,3,first_decode,per_variate,0.4657532,0.0074472115,0.024370106
current_sparsity__layer_3__first_decode__series_mean,current_sparsity,3,first_decode,series_mean,0.46567962,0.007525527,0.02395775
current_sparsity__layer_4__all_context__per_variate,current_sparsity,4,all_context,per_variate,0.46030247,0.00800762,0.0264907
current_sparsity__layer_4__all_context__series_mean,current_sparsity,4,all_context,series_mean,0.46772978,0.007079933,0.02437025
current_sparsity__layer_4__final_context__per_variate,current_sparsity,4,final_context,per_variate,0.44624355,0.0142460205,0.024861557
current_sparsity__layer_4__final_context__series_mean,current_sparsity,4,final_context,series_mean,0.46179682,0.009226154,0.022527963
