mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,-2679.464451542607,0.6067466669588369,111460.98961846797,0.5507054437942843,0.7738395577072408,0.0,81
baseline,0.0,low,-2263.903614065149,173.5832791521973,53.80149802031106,13584.61127773912,0.4465212224628316,0.0,364
baseline,0.0,middle,-4303.183605120058,0.5057332274738392,36.44990437440169,0.3767633554695124,0.6751669202691022,0.0,979
steer,-0.05,high,1630.7454140745563,0.7438288361823971,111514.79338540419,0.663288531663977,0.798794039502096,0.11374632432556676,81
steer,-0.05,low,1737.6926842155037,2497.2065029538376,321.2355967974433,2072.7261536238298,0.4222577596409502,0.09153865301753855,364
steer,-0.05,middle,-2085.809191640478,0.6353569098247802,43.69471780108701,0.4833808007709058,0.6237661748823916,0.11411777439725083,979
steer,-0.02,high,-2115.139560463988,0.6591319689820776,111472.17453453915,0.5911929110571006,0.8000770763344602,0.07996457206756509,81
steer,-0.02,low,-3073.6489325617695,916.0451226149115,101.85747895838128,720.6344251347954,0.4260013719053509,0.06630136595193327,364
steer,-0.02,middle,-3706.3840316834803,0.5503129695939322,38.84389309713051,0.4099549110082242,0.649730538528658,0.08944116329896265,979
steer,0.02,high,-3583.9279702269,0.6491749697873224,111467.55980225668,0.5940079147019136,0.8083233218410133,0.07431796604780377,81
steer,0.02,low,-2554.1512049842668,856.6322794973692,91.01484390976931,686.3025993769286,0.48514787536235987,0.06625439104471217,364
steer,0.02,middle,-4386.915089584833,0.5493499547771172,38.44293656025034,0.421507264682224,0.7058530585004151,0.0908853408321762,979
steer,0.05,high,-2100.0794427659775,0.7227165253994957,111499.50326854648,0.6744258587283117,0.8571000914951717,0.11288315727933092,81
steer,0.05,low,-785.2692919720661,2234.03999893314,268.9912614614657,2316.9290866814617,0.47795323878597046,0.09415018450242345,364
steer,0.05,middle,-2417.4751803804347,0.6391646339314807,42.2784742098004,0.5109239794269672,0.7606824346607792,0.12114549422635677,979
