benchmark,dataset_name,probe_label,probe_path,layer,token_position,pooling_mode,transfer_r2,transfer_rmse,transfer_mae,baseline_transfer_r2,baseline_transfer_rmse,baseline_transfer_mae,transfer_count
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/coordination__layer_-1__all_context__per_variate.pt,-1,all_context,per_variate,-0.04190245820355698,0.22050422458562283,0.18936355160866417,-30.61805048428378,1.2147053026740176,1.0699735617119461,672.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/coordination__layer_-1__final_context__per_variate.pt,-1,final_context,per_variate,-0.044449890616215404,0.2207736244104244,0.17912430887016753,-30.6183140792165,1.2147103660711953,1.069985709124293,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/coordination__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.7585491244087299,0.28647098109686847,0.2169700740699209,-164.99225609757318,2.783218464424927,2.4874923458291174,6.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/coordination__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,0.009164466564416163,0.21503253238855907,0.17861455451493283,-30.6183140792165,1.2147103660711953,1.069985709124293,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/coordination__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-1.1675895920162422,0.31804744538428126,0.23110099040329976,-164.99225609757318,2.783218464424927,2.4874923458291174,6.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/coordination__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-0.6178992876986886,0.2747762074628928,0.20571972269914404,-164.9867529616058,2.7831723280660845,2.4874843306778036,96.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_burstiness__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.2007901792177107,1245860.457627484,509324.78583103983,-0.19921682628034199,1245043.9866263245,509062.00264933513,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.19921686010970396,1245044.004187387,509091.7249096471,-0.19921682628034199,1245043.9866263245,509062.00264933513,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_burstiness__layer_3__first_decode__per_variate.pt,3,first_decode,per_variate,-0.20011597213723653,1245510.6521853823,509296.318073269,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_burstiness__layer_5__all_context__per_variate.pt,5,all_context,per_variate,-0.2004247315347003,1245670.861030206,509363.89616080513,-0.20079030766008654,1245860.5242591386,509456.6211198966,672.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_burstiness__layer_5__all_context__series_mean.pt,5,all_context,series_mean,-0.2007872584579744,1245858.9424330157,509418.3473244117,-0.1992168262803422,1245043.9866263247,509062.00264933513,96.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_burstiness__layer_11__final_context__per_variate.pt,11,final_context,per_variate,-0.19981164350678582,1245352.722205021,509247.65306388435,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_sparsity__layer_-1__all_context__per_variate.pt,-1,all_context,per_variate,-0.6694067635021745,0.11277036251014448,0.08512369322848204,0.9999999985164036,3.3617992765708795e-06,2.9818152991560134e-06,672.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_sparsity__layer_-1__all_context__series_mean.pt,-1,all_context,series_mean,-0.6905933410544609,0.11348369534385502,0.0850116236728176,0.9999999020646023,2.731390142471534e-05,2.3755784763080923e-05,96.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_sparsity__layer_-1__final_context__per_variate.pt,-1,final_context,per_variate,-0.6764057435448294,0.11300650986586627,0.08662440691725869,0.9999996202320188,5.378647280109954e-05,4.7706591781088624e-05,42.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_sparsity__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.6860751190656613,0.11333194756405301,0.08521534434018818,0.9999749735378922,0.00043663005023393206,0.00037974332419861884,6.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_sparsity__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-0.6931626594018827,0.11356989734032565,0.08596182545779524,0.9999996202320188,5.378647280109954e-05,4.7706591781088624e-05,42.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/current_sparsity__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.7266929094926096,0.11468891521391364,0.08706453654867773,0.9999749735378922,0.00043663005023393206,0.00037974332419861884,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/future_burstiness__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-1120308.3874196128,1000.676566319082,1000.673041899999,-1036056.6737876235,962.3137871544026,958.1694417628697,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/future_burstiness__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-1117876.495628358,999.5898757899208,999.5862066007796,-1124556.423139357,1002.5719747540708,1002.5715289910635,42.0
