benchmark,dataset_name,probe_label,probe_path,layer,token_position,pooling_mode,transfer_r2,transfer_rmse,transfer_mae,baseline_transfer_r2,baseline_transfer_rmse,baseline_transfer_mae,transfer_count
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/coordination__layer_-1__final_context__per_variate.pt,-1,final_context,per_variate,-0.05254189970471601,0.2216272102275574,0.15956990577295965,-112.9462763125915,2.3059689315935916,2.0412308412519584,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/coordination__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-1.004483848258626,0.3058473089621053,0.22735167519827584,-358.75405008323094,4.097379865890375,3.661776913201822,6.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/coordination__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-0.23797948805114522,0.24035884452488576,0.18662341426213008,-112.9462763125915,2.3059689315935916,2.0412308412519584,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/coordination__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-1.0322960449908747,0.3079618139791472,0.22058242644218962,-358.75405008323094,4.097379865890375,3.661776913201822,6.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/coordination__layer_11__all_context__per_variate.pt,11,all_context,per_variate,-0.6361303090921178,0.27632000498891374,0.20981456264011242,-112.95047127440371,2.306011378626045,2.0412603894539907,672.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/coordination__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-0.6304886991947738,0.2758431982802869,0.22382446293776312,-358.8914050108567,4.098161985794125,3.6625185071258968,96.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_burstiness__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.2007903025106661,1245860.5215877898,509453.2929918766,-0.20079030766008654,1245860.5242591386,509456.6211198966,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.20079030380887097,1245860.5222612554,509454.1320362091,-0.20079030766008654,1245860.5242591386,509456.6211198966,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_burstiness__layer_11__all_context__per_variate.pt,11,all_context,per_variate,-0.19954554592560547,1245214.615642704,509180.95679939183,-0.20079030766008654,1245860.5242591386,509456.6211198966,672.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_burstiness__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-0.19952360992286033,1245203.2300157899,509177.6262361717,-0.20079030766008654,1245860.5242591386,509456.6211198966,96.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_burstiness__layer_11__final_context__per_variate.pt,11,final_context,per_variate,-0.1997482758712228,1245319.835334873,509224.88562916184,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_burstiness__layer_11__first_decode__per_variate.pt,11,first_decode,per_variate,-0.199891202783943,1245394.0110691905,509248.5762328085,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_sparsity__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.5474316197452147,0.1085724468880489,0.08542808096950412,0.9997962244169303,0.0012459194464685265,0.0010868239048794617,6.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_sparsity__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.6578980988181162,0.1123809784375326,0.08862956599295028,0.9997962244169303,0.0012459194464685265,0.0010868239048794617,6.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_sparsity__layer_1__all_context__series_mean.pt,1,all_context,series_mean,-1.0300511345884766,0.12435618230592468,0.09203297352405726,0.9999992015851497,7.798807402690487e-05,6.803259833105108e-05,96.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_sparsity__layer_11__all_context__per_variate.pt,11,all_context,per_variate,-1.3189320825625677,0.1329100761166629,0.10711458458672707,0.999999964921459,1.6346871653147636e-05,1.4281761323653672e-05,672.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_sparsity__layer_11__final_context__per_variate.pt,11,final_context,per_variate,-1.0432359441017156,0.12475936400720944,0.10600866034952026,0.9999910257635803,0.00026146444821561164,0.0002284440310330722,42.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/current_sparsity__layer_11__first_decode__per_variate.pt,11,first_decode,per_variate,-5.245690874805146,0.218124342333008,0.18195339308211006,0.9999910257635803,0.00026146444821561164,0.0002284440310330722,42.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_burstiness__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-1123449.1751154633,1002.0782831017484,1002.0766894419988,-1124556.423139357,1002.5719747540708,1002.5715289910635,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-1118225.307091137,999.7458147070191,999.7420937220255,-1124556.423139357,1002.5719747540708,1002.5715289910635,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_burstiness__layer_9__all_context__per_variate.pt,9,all_context,per_variate,-1102975.7259415383,992.9054998974426,990.602519611373,-1124556.423139357,1002.5719747540708,1002.5715289910635,672.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_burstiness__layer_9__first_decode__per_variate.pt,9,first_decode,per_variate,-1116606.2950360053,999.0218168862286,999.0185420172555,-1124556.423139357,1002.5719747540708,1002.5715289910635,42.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_burstiness__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-1061217.4242182188,973.9286301682903,961.6751634408978,-1124556.4231393568,1002.5719747540707,1002.5715289910635,96.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_burstiness__layer_11__final_context__per_variate.pt,11,final_context,per_variate,-1117820.7792071914,999.5649650708538,999.5613064084735,-1124556.423139357,1002.5719747540708,1002.5715289910635,42.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_sparsity__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.5045396850782473,0.08559071746198904,0.06980330765081406,0.8373350786040292,0.028143091125466282,0.01689501024510244,6.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_sparsity__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.6399423728605682,0.08935917215835992,0.0730045686896808,0.8373350786040292,0.028143091125466282,0.01689501024510244,6.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed43/probes/artifacts/future_sparsity__layer_1__all_context__series_mean.pt,1,all_context,series_mean,-1.0905358994085756,0.10089128605042494,0.07682293077610486,0.8272539897734222,0.029002060613923356,0.01709652442389831,96.0
