window_id,subset,strength,mode,probe_score,forecast_regime_value,wape,mase,wql,median_spread,median_forecast_change
ds-180-5T:0,high,0.0,baseline,0.39137428998947144,1.0,0.09656702474465034,1.483703100317067,0.129188671708107,0.9664576053619385,0.0
ds-180-5T:0,high,-0.05,steer,0.37418144941329956,1.0,0.12330836519353167,1.894570162189939,0.12671490013599396,0.8611593246459961,0.06478023529052734
ds-180-5T:0,high,-0.02,steer,0.4711112678050995,1.0,0.12224655873830055,1.8782560473693894,0.14098741114139557,1.000398874282837,0.062224309891462326
ds-180-5T:0,high,0.02,steer,0.3495609164237976,1.0,0.09374757190693173,1.4403836449690073,0.10964226722717285,0.7843124270439148,0.060190699994564056
ds-180-5T:0,high,0.05,steer,0.24767273664474487,1.0,0.0994542580038412,1.5280639672830687,0.12331366539001465,0.8982354402542114,0.058522939682006836
ds-180-5T:5098,low,0.0,baseline,0.5757362842559814,0.0,1.111061096090894,1.7565554796941276,0.6276458501815796,0.1515815556049347,0.0
ds-180-5T:5098,low,-0.05,steer,0.5806325078010559,0.0,1.1150142293345635,1.7628052690941525,0.688628613948822,0.1712319552898407,0.02724182978272438
ds-180-5T:5098,low,-0.02,steer,0.5775466561317444,0.0,1.0788071790146785,1.7055629690381777,0.6279279589653015,0.18542619049549103,0.02187521383166313
ds-180-5T:5098,low,0.02,steer,0.5739898681640625,0.0,1.1265406145607488,1.7810281509872872,0.6696335673332214,0.15557293593883514,0.02503318339586258
ds-180-5T:5098,low,0.05,steer,0.5713980197906494,0.0,1.2065122407316884,1.9074609805273128,0.72190922498703,0.1546599417924881,0.021600674837827682
ds-180-5T:10197,high,0.0,baseline,0.2756245732307434,1.0,0.4883124910492149,5.397510002656296,0.29042983055114746,0.6516180038452148,0.0
ds-180-5T:10197,high,-0.05,steer,0.2644212245941162,1.0,0.4239935597745053,4.686567560513405,0.2844432294368744,0.9704398512840271,0.0746564194560051
ds-180-5T:10197,high,-0.02,steer,0.2691425383090973,1.0,0.48293172852602034,5.338034318390146,0.2944124639034271,0.7122427225112915,0.06740567088127136
ds-180-5T:10197,high,0.02,steer,0.27305522561073303,1.0,0.5019176843954725,5.547893555239016,0.3113373816013336,0.5543392300605774,0.0502958819270134
ds-180-5T:10197,high,0.05,steer,0.2634800374507904,1.0,0.5278531693063863,5.834568669630651,0.32777759432792664,0.45218026638031006,0.057914845645427704
ds-180-5T:15296,low,0.0,baseline,0.6327680945396423,0.0,0.22758847978618382,5.179861689025713,0.1580539345741272,1.0713273286819458,0.0
ds-180-5T:15296,low,-0.05,steer,0.6404380798339844,0.0,0.21979558387586196,5.002497162445259,0.15312647819519043,1.1025437116622925,0.1436627060174942
ds-180-5T:15296,low,-0.02,steer,0.6366360187530518,0.0,0.21802781574381824,4.962263164525609,0.14990346133708954,1.072676658630371,0.14777988195419312
ds-180-5T:15296,low,0.02,steer,0.6313741207122803,0.0,0.2248622804266643,5.1178140158206,0.15423685312271118,0.997979998588562,0.15426011383533478
ds-180-5T:15296,low,0.05,steer,0.6360666751861572,0.0,0.22080015677121193,5.025361011526486,0.15116961300373077,0.9719830751419067,0.14264434576034546
ds-650-5T:0,high,0.0,baseline,0.5658731460571289,1.0,0.1034255828861343,0.6639651024863988,0.09040975570678711,0.852371871471405,0.0
ds-650-5T:0,high,-0.05,steer,0.5489196181297302,1.0,0.09533222459109054,0.6120078659896607,0.09018170088529587,0.8771007061004639,0.10781705379486084
