benchmark,dataset_name,probe_label,probe_path,layer,token_position,pooling_mode,transfer_r2,transfer_rmse,transfer_mae,baseline_transfer_r2,baseline_transfer_rmse,baseline_transfer_mae,transfer_count
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-0.33852088224144694,0.10097793094154998,0.08407594343694443,0.9999996202320188,5.378647280109954e-05,4.7706591781088624e-05,42.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.3488379300331532,0.10136634264593791,0.08586475304576506,0.9999749735378922,0.00043663005023393206,0.00037974332419861884,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-1124556.423139357,1002.5719747540708,1002.5715289910635,-1124556.423139357,1002.5719747540708,1002.5715289910635,42.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-1113048.3680571702,997.4289190704385,997.4284710089365,-1036056.6737876235,962.3137871544026,958.1694417628697,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_0__all_context__series_mean.pt,0,all_context,series_mean,-1086577.799675338,985.4971116024808,975.652313796147,-1036056.6737876233,962.3137871544025,958.1694417628697,96.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_0__final_context__per_variate.pt,0,final_context,per_variate,-1118040.0209721634,999.6629841141464,999.6382877113452,-1124556.423139357,1002.5719747540708,1002.5715289910635,42.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_0__final_context__series_mean.pt,0,final_context,series_mean,-927633.4037224828,910.5696392867435,847.4428365270633,-1036056.6737876235,962.3137871544026,958.1694417628697,6.0
fev,ETT_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_11__all_context__per_variate.pt,11,all_context,per_variate,-1114779.4780913736,998.2042613055248,996.9967714220505,-1124556.423139357,1002.5719747540708,1002.5715289910635,672.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_sparsity__layer_-1__all_context__per_variate.pt,-1,all_context,per_variate,-0.6317479838143856,0.08913563966212498,0.06958585627630594,0.8234655382112166,0.029318354515461633,0.017386494608906723,672.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_sparsity__layer_-1__all_context__series_mean.pt,-1,all_context,series_mean,-0.6581884259727804,0.08985490364463988,0.0695768746852351,0.826418660190664,0.029072097145140568,0.017116106134102624,96.0
