name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_-1__all_context__per_variate,current_sparsity,-1,all_context,per_variate,2.85661,-1.4551747,0.18773459
current_sparsity__layer_-1__all_context__series_mean,current_sparsity,-1,all_context,series_mean,2.86652,-1.467813,0.18973826
current_sparsity__layer_-1__final_context__per_variate,current_sparsity,-1,final_context,per_variate,2.8317914,-1.4347366,0.18314876
current_sparsity__layer_-1__final_context__series_mean,current_sparsity,-1,final_context,series_mean,2.8569837,-1.4584876,0.18819757
current_sparsity__layer_-1__first_decode__per_variate,current_sparsity,-1,first_decode,per_variate,2.7607913,-1.334795,0.17045571
current_sparsity__layer_-1__first_decode__series_mean,current_sparsity,-1,first_decode,series_mean,2.8398445,-1.433954,0.18498825
current_sparsity__layer_0__all_context__per_variate,current_sparsity,0,all_context,per_variate,3.3631284,-1.5309309,0.13831528
current_sparsity__layer_0__all_context__series_mean,current_sparsity,0,all_context,series_mean,3.178691,-1.516167,0.1572975
current_sparsity__layer_0__final_context__per_variate,current_sparsity,0,final_context,per_variate,3.4363692,-1.5288953,0.13294615
current_sparsity__layer_0__final_context__series_mean,current_sparsity,0,final_context,series_mean,3.1715963,-1.5058101,0.15414985
current_sparsity__layer_0__first_decode__per_variate,current_sparsity,0,first_decode,per_variate,3.1791766,-1.3804044,0.12860343
current_sparsity__layer_0__first_decode__series_mean,current_sparsity,0,first_decode,series_mean,3.0661578,-1.4628633,0.16073412
current_sparsity__layer_1__all_context__per_variate,current_sparsity,1,all_context,per_variate,3.9014637,-1.5350736,0.05164253
current_sparsity__layer_1__all_context__series_mean,current_sparsity,1,all_context,series_mean,3.486665,-1.5312088,0.12971972
current_sparsity__layer_1__final_context__per_variate,current_sparsity,1,final_context,per_variate,4.0948033,-1.5420381,0.021063382
current_sparsity__layer_1__final_context__series_mean,current_sparsity,1,final_context,series_mean,3.4561648,-1.5193068,0.12605251
current_sparsity__layer_1__first_decode__per_variate,current_sparsity,1,first_decode,per_variate,3.4914231,-1.3742825,0.06715051
current_sparsity__layer_1__first_decode__series_mean,current_sparsity,1,first_decode,series_mean,3.2092519,-1.466356,0.15184864
current_sparsity__layer_2__all_context__per_variate,current_sparsity,2,all_context,per_variate,4.0711884,-1.4874964,0.03725826
current_sparsity__layer_2__all_context__series_mean,current_sparsity,2,all_context,series_mean,3.5822055,-1.5134321,0.12547332
current_sparsity__layer_2__final_context__per_variate,current_sparsity,2,final_context,per_variate,4.258416,-1.4857584,0.0026038203
