mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,623.0527564154731,0.5569372701194966,11.690899191399815,0.5036793724025806,0.6766273302427079,0.0,144
baseline,0.0,low,-4738.7046060217435,751.7718926063966,145.0543090135034,955.1949086918942,0.047059693993686376,0.0,166
baseline,0.0,middle,4933.724994919357,0.4666057153283776,2.50170673719867,0.34547869801246023,0.6714395591680434,0.0,1086
steer,-0.05,high,-8357.309796863132,0.6725583250474567,11.89574868653439,0.6070418547088694,0.5836159253328029,0.10843545750443202,144
steer,-0.05,low,-11054.670312352928,3190.87043940707,627.149693720506,2960.3575089542715,0.058913560241954516,0.009602940191461492,166
steer,-0.05,middle,3683.8944092358893,0.4937321635617784,3.251226380769479,0.3784471070002653,0.60834827250458,0.08216081119766784,1086
steer,-0.02,high,-2062.7416466606987,0.5997204522419568,11.760805728190244,0.5320142745299058,0.6419883933041193,0.07426432673107936,144
steer,-0.02,low,-5486.291578913309,739.6225571896152,150.6372929203436,6092.143097814243,0.06348452504081877,0.003890319520478552,166
steer,-0.02,middle,4656.086691390963,0.476171155132923,2.684565817102287,0.35358306699534053,0.6436759648974522,0.07899108485258262,1086
steer,0.02,high,269.6086129082574,0.6025716867062445,11.73449062231921,0.5361029869850932,0.7160868288354121,0.07787712294278511,144
steer,0.02,low,-8789.48681861234,1114.9575443337899,221.5201383156831,3329.5281211667334,0.09685121248728674,0.004029452000220071,166
steer,0.02,middle,4843.562033356444,0.48019973177172953,2.818991384066661,0.3555627610257541,0.7093015901676188,0.08308028717054497,1086
steer,0.05,high,-3035.6302456325957,0.6831844599626294,11.84514586717932,0.6122889373994743,0.7935080834399236,0.11988472385888195,144
steer,0.05,low,-12060.197225180016,4223.158203084906,830.9421095833418,3527.449306432101,0.07618820048863045,0.010044921013521007,166
steer,0.05,middle,4367.612925436396,0.5076992920994056,3.5989754412886183,0.37806706460455214,0.7445409026090828,0.09070361169007081,1086
